Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
29/04/2016,"CARRIG DONN, CAHIR, OGONNELLOE",Clare,,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"10 PRIORY ST, NEW ROSS, WEXFORD",Wexford,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2016,"32 MOUNT AUBURN, DUBLIN RD, DROGHEDA",Louth,,"€451,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2016,"CURRAGHS, LISCARROLL, MALLOW",Cork,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"89 WOODVIEW, CAHIR, TIPPERARY",Tipperary,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2016,"WOODFIELD, CLARA, OFFALY",Offaly,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2016,"2  Castlepoles, Arva",Cavan,,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/08/2016,"PEZULA, INCH HILL, BLACKWATER",Wexford,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2016,"8 WOODLANDS, COOLFLUGH, BLARNEY",Cork,,"€332,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2016,"FROGFIELD HOUSE, MONEYGOURNEY, DOUGLAS",Cork,,"€635,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2016,"SPELGA, 19 BEECHBROOK, DELGANY",Wicklow,,"€352,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/07/2016,"51 WINDMILL AVE, SWORDS, DUBLIN",Dublin,,"€304,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2016,"40 MARLFIELD CLOSE, TALLAGHT, DUBLIN",Dublin,,"€139,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2016,"32 GLASNEVIN PARK, DUBLIN 11, DUBLIN",Dublin,,"€406,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"APARTMENT 5, ROCK HOUSE, SLANE",Meath,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2016,"APT 43, THE PINES, HERBERT PARK LANE DUBLIN 4",Dublin,,"€2,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2016,"12 & 13 Holland Park, Rheban Manor",Kildare,,"€73,524.50",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/07/2016,"26 Kilheale Avenue, Kilheale Manor, Kill",Kildare,,"€268,722.46",No,No,New Dwelling house /Apartment,greater than 125 sq metres
05/08/2016,"OLD ROAD, FANORE, CO CLARE",Clare,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2016,"FINTRA, KILLYBEGS, DONEGAL",Donegal,,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2016,"2 THE COURTYARD, UPPER GEORGES ST, WEXFORD",Wexford,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2016,"112 Cluain Shee, Sandyford Meadows, Woodside",Dublin,,"€278,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/10/2016,"CHAPEL LAND, ATHBOY, MEATH",Meath,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2016,"46 BELFIELD ABBEY, BOREENMANNA ROAD, CORK CITY",Cork,,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2016,"14 ABBEY COURT, KILCOURSEY, CLARA",Offaly,,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2016,"LISNANAGH, MOSTRIM, CO LONGFORD",Longford,,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2016,"3 Apartments and First Floor of, Grattan Court  Grattan Place, Greystones",Wicklow,,"€331,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/11/2016,"48 PERCY PLACE, DUBLIN 4",Dublin,,"€670,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2016,"3 DUNGAR TERRACE, DUN LAOGHAIRE, CO. DUBLIN",Dublin,,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2016,"54 BLACKHALL SQUARE, SMITHFIELD, DUBLIN 7",Dublin,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2016,"MAULYREGAN, REENASCREENA, ROSCARBERRY",Cork,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2016,"38 STANFORD GREEN, WALKINSTOWN, DUBLIN 12",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"TURLOUGH RD, CASTLEBAR, MAYO",Mayo,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2016,"86 HOLLYBROOK PARK, OLD GREYSTONES RD, BRAY",Wicklow,,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2016,"THE ROCK INN, DUBLIN RD, PORTLAOISE",Laois,,"€167,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2016,"3  The Park, Drummin Village, Nenagh",Tipperary,,"€114,537.44",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/07/2016,"19 LENABOY GARDENS, SALTHILL, GALWAY",Galway,,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2016,"5 ESMONDALE, NAAS, CO. KILDARE",Kildare,,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2016,"87 BRANSWOOD, KILKENNY ROAD, ATHY",Kildare,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/03/2016,"26 The Hawthorns, Carraroe, Sligo",Sligo,,"€120,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/12/2016,"62 BEAUFORT DOWNS, RATHFARNHAM, DUBLIN 14",Dublin,,"€200,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/11/2016,"10 DONOMORE GREEN, KILLINARDEN HEIGHTS, TALLAGHT",Dublin,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2016,"2080 MADDENSTOWN, THE CURRAGH, KILDARE",Kildare,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2016,"65 MANGERTON RD, DRIMNAGH, DUBLIN 12",Dublin,,"€243,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2016,"APT 9 BLOCK 7, GATEWAY APTS, CO SLIGO",Sligo,,"€57,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2016,"ST ANNES, 6 SHREWSBURY LAWN, CABINTEELY DUBLIN 18",Dublin,,"€705,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2016,"42 TANNERY ROAD, TANNERY WHARF, RATHANGAN",Kildare,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"12 NOVARA PARK, NOVARA RD, BRAY",Wicklow,,"€431,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2016,"1 SEAMOUNT, SALTHILL, GALWAY",Galway,,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2016,"13 KINGSTON RISE, BALLINTEER, DUBLIN 16",Dublin,,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2016,"20 STELLA GARDENS, IRISHTOWN, DUBLIN 4",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2016,"7 CLAN HOUSE, DOMINICK ST, GALWAY",Galway,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2016,"36 The Alders, Monkstown Valley, Monkstown",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2016,"77 MARTELLO COURT, PORTMARNOCK, DUBLIN",Dublin,,"€492,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2016,"CUSHAWN, ST PATRICK'S VALLEY, WICKLOW TOWN",Wicklow,,"€338,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2016,"3 NEWMANS MALL, 'YELLOW HOUSE', KINSALE",Cork,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"ANNAGH MIDDLE, GOREY, WEXFORD",Wexford,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2016,"25 KILLARNEY COUNTRY CLUB COTTAGES, KILLARNEY, COUNTY KERRY",Kerry,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2016,"18 MEADOW COURT, ELM PARK, CLAREMORRIS",Mayo,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2016,"92 Seabury Lawns, Mornington",Meath,,"€214,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/02/2016,"BEECHGROVE, FORESTRY RD, COOLREE",Wexford,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"1 ST MARYS PLACE, HOWTH, CO DUBLIN",Dublin,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2016,"49 GRIFFEEN GLEN ROAD, LUCAN",Dublin,,"€290,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/10/2016,"CLOONAGH, MOUNTMELLICK, CO LAOIS",Laois,,"€347,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2016,"15 HIBERNIAN BUILDINGS, ALBERT ROAD, CORK",Cork,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2016,"4 EDWARD SQ, BLOOMFIELD AVE, DUBLIN",Dublin,,"€2,400,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2016,"27 BROADLEAF, BROAD ST, LIMERICK",Limerick,,"€53,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2016,"17 ST JAMES SQUARE, OFF TOWER ST, CORK",Cork,,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"17 STOCKING WOOD WALK, RATHFARNHAM, DUBLIN 16",Dublin,,"€17,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/09/2016,"7 CLIEVRAGH PARK, LISTOWEL, KERRY",Kerry,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"7 GOLDSMITH DRIVE, ELPHIN, CO ROSCOMMON",Roscommon,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2016,"29 FR MATHEW ST, TIPPERARY TOWN, TIPPERARY",Tipperary,,"€57,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2016,"126 SLI GHEAL, BALLYMONEEN RD, KNOCKNACARRA",Galway,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"75 THE MEADOWS, CORNELSCOURT, NEWBRIDGE",Kildare,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2016,"72 ROS NA RI, COMMONS RD NAVAN, MEATH",Meath,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2016,"C MILLIGAN COURT, CONNAUGHTON RD, SLIGO",Sligo,,"€15,106.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2016,"18 ANNFIELD DR, CARPENTERSTOWN, DUBLIN 15",Dublin,,"€254,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2016,"11 DRUMAVANAGH, CAVAN",Cavan,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2016,"126 GLENSIDE, NEWTOWN, ANNACOTTY",Limerick,,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2016,"16 FLOOD ST, KILLALEE, LIMERICK",Limerick,,"€56,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2016,"6 THE MAPLES, DIAMOND VALLEY, UPPER DARGLE ROAD",Wicklow,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"3 CILL MHUIRE, KENMARE, KERRY",Kerry,,"€119,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2016,"29 Annalee Manor, Ballyhaise, Co Cavan",Cavan,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"9 HUNTSTOWN CLOSE, MULHUDDART, DUBLIN 15",Dublin,,"€188,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2016,"1 SYCAMORE DR, ROSCOMMON RD, ATHLONE",Roscommon,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2016,"9 BARRACK ST, DROGHEDA, LOUTH",Louth,,"€15,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/06/2016,"73 CRADDOCKSTOWN PARK THE WAY, NAAS, KILDARE",Kildare,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2016,"63 BIRD AVE, CLONSKEAGH, DUBLIN 14",Dublin,,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2016,"NAVINS BAR, BARRACK ST, CLARECASTLE",Clare,,"€98,750.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2016,"9 The Elms, Forrest Road",Dublin,,"€324,229.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2016,"81 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/01/2016,"15 THE MOORINGS, GREENHILLS, DROGHEDA",Louth,,"€253,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2016,"54 Drummond Radhairc, Dundalk Road, Carrickmacross",Monaghan,,"€189,427.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/07/2016,"6 IVY HILL, GORT RD, ENNIS",Clare,,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2016,"26 GORTONORA, DINGLE, CO KERRY",Kerry,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2016,"5 DERRYLURGAN COURT, RASSAN RD, BALLYJAMESDUFF",Cavan,,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2016,"OLD POST OFFICE, BALLINTUBBER, CASTLEREA",Roscommon,,"€15,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2016,"4 LOUGH SHEELIN VEW, MOUNTNUGENT, CAVAN",Cavan,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2016,"DRUMCANNON, KILLYGORDON, DONEGAL",Donegal,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2016,"103 Seabury Lawns, Mornington",Meath,,"€214,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/09/2016,"31 THE PARK BLUE CEDARS, BALLYBOFEY, DONEGAL",Donegal,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2016,"DRUMSHIEL, CONG, MAYO",Mayo,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2016,"CEANN SCRIBE, RADHARC NA RI, ROSSES POINT",Sligo,,"€352,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2016,"28 CADOGAN RD, FAIRVIEW, DUBLIN 3",Dublin,,"€317,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2016,"21A SHANNON WEIR, THE DOCKS, ATHLONE",Westmeath,,"€46,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2016,"1 Colpe Avenue, Deepforde, Dublin Road",Meath,,"€362,996.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
22/07/2016,"11 PARK DR, GRANGERATH, COLPE",Meath,,"€442,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2016,"GLENDERRY, BALLYHEIGUE, KERRY",Kerry,,"€288,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2016,"56 KINVARA RD, NAVAN RD, DUBLIN 7",Dublin,,"€321,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"45 CHURCH VIEW LANESBORO, LONGFORD",Longford,,"€91,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2016,"41 WALKINSTOWN DR, WALKINSTOWN, DUBLIN 12",Dublin,,"€344,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"2 CONVENT TERRACE, STRAWBERRY HILL, CO CORK",Cork,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2016,"39 AN CLADRACH, BALLINROBE, MAYO",Mayo,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2016,"EATON HEIGHTS, COBH",Cork,,"€17,857.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2016,"15 THE MAISTON, SANTRY CROSS, DUBLIN",Dublin,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2016,"10 ELM PARK, CLONMEL, TIPPERARY",Tipperary,,"€89,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"20 dalkey manor, dalkey",Dublin,,"€854,625.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
16/11/2016,"90 LIMEKILN WOOD, TRIM RD, NAVAN",Meath,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2016,"26 CHELMSFORD AVE, RANELAGH, DUBLIN",Dublin,,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2016,"150 Lymewood Mews, Santry, Dublin 9",Dublin,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2016,"115 MEADOW VALE, BLACKROCK, DUBLIN",Dublin,,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2016,"12 OLYMPIA COURT, PARNELL ST, WATERFORD",Waterford,,"€53,904.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2016,"DUNDALK RD, ANNAHALE, CASTLEBLAYNEY",Monaghan,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2016,"No 9 Church View Gardens, Glanmire, Co. Cork",Cork,,"€215,859.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/01/2016,"NO. 23 CROI AN BHAILE, CARRABANE, ATHENRY",Galway,,"€119,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"29 BEECHWOOD PARK, KILCOOLE, WICKLOW",Wicklow,,"€249,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2016,"APT 10 HOUSE 3, LINDEN COURT, GROVE AVE",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2016,"16 THE ELMS, JOHNS ROW, WESTPORT",Mayo,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2016,"17 ARDMORE HILLS, MULLINGAR, WESTMEATH",Westmeath,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2016,"71 BALLYKEEFE, DOORADOYLE, LIMERICK",Limerick,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2016,"7 DUNARAS, BISHOP ODONNELL RD, GALWAY",Galway,,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2016,"36 CEDARBROOK PLACE CHERRY ORCHARD, DUBLIN 10, DUBLIN",Dublin,,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/07/2016,"9 TH GROVE, GLEANN NA RI, TOWER",Cork,,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2016,"2 CASTLE GARDENS, STATION RD, BLARNEY",Cork,,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2016,"43 CASTLE FALLS, KILLARNEY, KERRY",Kerry,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2016,"APT 31 WYNNEFIELD HOUSE, 26 CHARLEVILLE RD, RATHMINES DUBLIN 6",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2016,"58 PAIRC NA HABHAINN, ATHENRY, CO  GALWAY",Galway,,"€159,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"BANNA WEST, ARDFERT, TRALEE",Kerry,,"€88,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2016,"GROUND FLOOR, 52 SOUTH RICHMOND ST., DUBLIN2",Dublin,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"14 Kilheale Avenue, Hartwell Green, Kill",Kildare,,"€90,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/07/2016,"54 PARK RD, KILLARNEY, KERRY",Kerry,,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2016,"15 FORTFIELD SQ, TERENURE, DUBLIN 6W",Dublin,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2016,"166 KILLEAGH GARDENS, KILLEAGH, CORK",Cork,,"€86,800.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2016,"23 RED ARCHES DRIVE, THE COAST, BALDOYLE",Dublin,,"€126,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2016,"NO 1 MARKHOUSE, MAIN STREET, STRANORLAR",Donegal,,"€427,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"10A PINEWOOD CRESCENT, GLASNEVIN, DUBLIN 11",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2016,"3A MOORE BAY COTTAGES, KILKEE, COUNTY CLARE",Clare,,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2016,"9 The Vale, Moyglare Hall, Moyglare Road",Kildare,,"€330,396.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/09/2016,"ARDAGH, TULLYALLEN, DROGHEDA",Louth,,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2016,"19 SWEETBRIAR LANE, LOWER KILMACUD RD, DUBLIN 14",Dublin,,"€653,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2016,"18 WOODLAWN RISE, SANTRY, DUBLIN 17",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2016,"35 CLUIAN RI, ASHBOURNE, MEATH",Meath,,"€203,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2016,"34 Olive Crescent, Fruithill Manor, Graiguecullen",Laois,,"€154,185.02",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/12/2016,"RIVERVIEW, TALLOW BRIDGE, TALLOW",Waterford,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2016,"1 NA CLUANTA, PORTARLINGTON, CO. LAOIS",Offaly,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2016,"8 RAMONAN, GRANARD RD, BALLYJAMESDUFF",Cavan,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/07/2016,"11 ROSEDALE, MILLFARM, DUNBOYNE",Meath,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2016,"FOUNTAIN HOUSE, THE MELL, DROGHEDA",Louth,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"CLONOGHILL UPPER, BIRR, CO OFFALY",Offaly,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2016,"5 COLLEGE GREEN, COLLEGE WOODS, KILBEG",Mayo,,"€189,427.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
09/08/2016,"2 HENRY ST TERRACE, WATERFORD, WATERFORD",Waterford,,"€47,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2016,"31 RAGLAN LANE, BALLSBRIDGE, DUBLIN 4",Dublin,,"€835,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"57 COIS CULAINN, LOUGHLINSTOWN, DUBLIN",Dublin,,"€392,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2016,"2 HOWTH TERRACE, HOWTH, CO. DUBLIN",Dublin,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2016,"128 Evanwood, Golf Links Road, Castletroy",Limerick,,"€191,629.60",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/05/2016,"5 Fforster Terrace, Lucan",Dublin,,"€259,912.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/06/2016,"64 SHANARD AVE, SANTRY, DUBLIN 9",Dublin,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
